Gene stable ID	GO term accession
ENSCHAG00000000001	GO:0005515
ENSCHAG00000000001	
ENSCHAG00000000002	GO:0005509
ENSCHAG00000000002	GO:0003755
ENSCHAG00000000003	GO:0007160
ENSCHAG00000000004	GO:0003824
ENSCHAG00000000004	GO:0046912
ENSCHAG00000000004	GO:0006101
ENSCHAG00000000004	GO:0006085
ENSCHAG00000000004	GO:0003878
ENSCHAG00000000004	GO:0005524
ENSCHAG00000000007	
ENSCHAG00000000008	
ENSCHAG00000000009	GO:0051092
ENSCHAG00000000009	GO:0042981
ENSCHAG00000000009	GO:0005515
ENSCHAG00000000010	GO:0003676
ENSCHAG00000000010	GO:0035278
ENSCHAG00000000011	GO:0006468
ENSCHAG00000000011	GO:0004672
ENSCHAG00000000011	GO:0005524
ENSCHAG00000000012	
ENSCHAG00000000013	
ENSCHAG00000000014	GO:0043565
ENSCHAG00000000014	GO:0003676
ENSCHAG00000000015	GO:0070449
ENSCHAG00000000015	GO:0030891
ENSCHAG00000000015	GO:0006368
ENSCHAG00000000015	GO:0005515
ENSCHAG00000000016	
ENSCHAG00000000017	GO:0005515
ENSCHAG00000000018	GO:0005751
ENSCHAG00000000018	GO:0005743
ENSCHAG00000000018	GO:0004129
ENSCHAG00000000019	GO:0005579
ENSCHAG00000000019	GO:0006955
ENSCHAG00000000019	
ENSCHAG00000000020	GO:0005579
ENSCHAG00000000020	GO:0006955
ENSCHAG00000000020	
ENSCHAG00000000021	
ENSCHAG00000000022	
ENSCHAG00000000023	GO:0016021
ENSCHAG00000000024	GO:0030595
ENSCHAG00000000024	GO:0001845
ENSCHAG00000000024	GO:0051015
ENSCHAG00000000024	GO:0005515
ENSCHAG00000000024	GO:0001654
ENSCHAG00000000024	GO:0007420
ENSCHAG00000000024	GO:0021952
ENSCHAG00000000025	GO:0005923
ENSCHAG00000000025	GO:0005198
ENSCHAG00000000025	GO:0016021
ENSCHAG00000000026	GO:0016787
ENSCHAG00000000026	GO:0060026
ENSCHAG00000000027	GO:0034773
ENSCHAG00000000027	GO:0042799
ENSCHAG00000000027	GO:0005515
ENSCHAG00000000028	GO:0005515
ENSCHAG00000000033	
ENSCHAG00000000035	GO:0017156
ENSCHAG00000000035	GO:0016020
ENSCHAG00000000036	GO:0008270
ENSCHAG00000000036	GO:0003676
ENSCHAG00000000037	GO:0015074
ENSCHAG00000000037	GO:0003676
ENSCHAG00000000038	
ENSCHAG00000000039	GO:0005515
ENSCHAG00000000042	GO:0005515
ENSCHAG00000000043	
ENSCHAG00000000044	GO:0005515
ENSCHAG00000000045	GO:0048011
ENSCHAG00000000045	GO:0032007
ENSCHAG00000000046	
ENSCHAG00000000047	GO:0007405
ENSCHAG00000000047	GO:0097150
ENSCHAG00000000048	GO:0005509
ENSCHAG00000000048	
ENSCHAG00000000049	GO:0001944
ENSCHAG00000000049	GO:0048786
ENSCHAG00000000049	GO:0007269
ENSCHAG00000000049	GO:0005515
ENSCHAG00000000050	
ENSCHAG00000000051	GO:0004994
ENSCHAG00000000051	GO:0007186
ENSCHAG00000000051	GO:0004930
ENSCHAG00000000051	GO:0016021
ENSCHAG00000000052	
ENSCHAG00000000053	GO:0005515
ENSCHAG00000000054	GO:0007160
ENSCHAG00000000055	
ENSCHAG00000000056	
ENSCHAG00000000057	GO:0006511
ENSCHAG00000000057	GO:0016579
ENSCHAG00000000057	GO:0004843
ENSCHAG00000000057	GO:0008270
ENSCHAG00000000058	
ENSCHAG00000000059	GO:0006468
ENSCHAG00000000059	GO:0004672
ENSCHAG00000000059	GO:0005524
ENSCHAG00000000060	
ENSCHAG00000000061	
ENSCHAG00000000062	GO:0005102
ENSCHAG00000000063	GO:0016592
ENSCHAG00000000063	GO:0006357
ENSCHAG00000000063	GO:0003712
ENSCHAG00000000064	GO:0015293
ENSCHAG00000000064	GO:0016021
ENSCHAG00000000065	GO:0016746
ENSCHAG00000000066	GO:0048675
ENSCHAG00000000067	GO:0007165
ENSCHAG00000000067	GO:0005525
ENSCHAG00000000067	GO:0003924
ENSCHAG00000000067	GO:0016020
ENSCHAG00000000068	GO:0006355
ENSCHAG00000000068	GO:0000981
ENSCHAG00000000069	GO:0030099
ENSCHAG00000000069	GO:0030218
ENSCHAG00000000069	GO:0005576
ENSCHAG00000000069	GO:0008543
ENSCHAG00000000069	GO:0005104
ENSCHAG00000000069	GO:0008083
ENSCHAG00000000071	
ENSCHAG00000000072	GO:0045765
ENSCHAG00000000072	
ENSCHAG00000000074	GO:0008076
ENSCHAG00000000074	GO:0006813
ENSCHAG00000000074	GO:0005249
ENSCHAG00000000074	GO:0051260
ENSCHAG00000000074	GO:0055085
ENSCHAG00000000074	GO:0006811
ENSCHAG00000000074	GO:0005216
ENSCHAG00000000074	GO:0016020
ENSCHAG00000000074	GO:0005515
ENSCHAG00000000076	GO:0005525
ENSCHAG00000000077	
ENSCHAG00000000079	GO:0016491
ENSCHAG00000000079	GO:0055114
ENSCHAG00000000080	GO:0016021
ENSCHAG00000000081	GO:0051537
ENSCHAG00000000081	GO:0051536
ENSCHAG00000000081	GO:0009055
ENSCHAG00000000082	GO:0005525
ENSCHAG00000000082	GO:0003924
ENSCHAG00000000083	GO:0038036
ENSCHAG00000000083	GO:0007186
ENSCHAG00000000083	GO:0004930
ENSCHAG00000000083	GO:0016021
ENSCHAG00000000084	
ENSCHAG00000000085	
ENSCHAG00000000087	GO:0016706
ENSCHAG00000000087	GO:0008168
ENSCHAG00000000087	GO:0055114
ENSCHAG00000000088	GO:0030036
ENSCHAG00000000088	GO:0003779
ENSCHAG00000000088	GO:0007009
ENSCHAG00000000089	
ENSCHAG00000000090	GO:0006468
ENSCHAG00000000090	GO:0004672
ENSCHAG00000000090	GO:0005524
ENSCHAG00000000091	GO:0006468
ENSCHAG00000000091	GO:0004672
ENSCHAG00000000091	GO:0005524
ENSCHAG00000000093	GO:0004500
ENSCHAG00000000093	GO:0005507
ENSCHAG00000000093	GO:0004497
ENSCHAG00000000093	GO:0016715
ENSCHAG00000000093	GO:0055114
ENSCHAG00000000093	GO:0003824
ENSCHAG00000000094	GO:0043547
ENSCHAG00000000094	GO:1902936
ENSCHAG00000000094	GO:0005096
ENSCHAG00000000095	GO:0009081
ENSCHAG00000000095	GO:0004084
ENSCHAG00000000095	GO:0003824
ENSCHAG00000000096	GO:0003700
ENSCHAG00000000096	GO:0000976
ENSCHAG00000000096	GO:0003677
ENSCHAG00000000096	GO:0046982
ENSCHAG00000000096	GO:0006351
ENSCHAG00000000096	GO:0006355
ENSCHAG00000000096	GO:0045893
ENSCHAG00000000096	GO:0005667
ENSCHAG00000000097	GO:0046872
ENSCHAG00000000098	GO:0007420
ENSCHAG00000000098	GO:0005509
ENSCHAG00000000099	GO:0007507
ENSCHAG00000000099	GO:0030054
ENSCHAG00000000099	GO:0030036
ENSCHAG00000000099	GO:0003779
ENSCHAG00000000100	GO:0030036
ENSCHAG00000000100	GO:0003779
ENSCHAG00000000101	GO:0005179
ENSCHAG00000000101	GO:0005576
ENSCHAG00000000101	GO:0033555
ENSCHAG00000000101	GO:0043066
ENSCHAG00000000101	GO:0050801
ENSCHAG00000000102	GO:0006486
ENSCHAG00000000102	GO:0016020
ENSCHAG00000000105	GO:0089701
ENSCHAG00000000105	GO:0000398
ENSCHAG00000000105	GO:0003723
ENSCHAG00000000105	GO:0046872
ENSCHAG00000000105	GO:0003676
ENSCHAG00000000109	GO:0009416
ENSCHAG00000000109	GO:0030431
ENSCHAG00000000109	GO:0043025
ENSCHAG00000000109	GO:0005179
ENSCHAG00000000109	GO:0005576
ENSCHAG00000000111	GO:0005525
ENSCHAG00000000113	
ENSCHAG00000000114	GO:0007420
ENSCHAG00000000114	GO:0001756
ENSCHAG00000000114	GO:0007219
ENSCHAG00000000114	GO:0046983
ENSCHAG00000000115	
ENSCHAG00000000116	GO:0005515
ENSCHAG00000000117	GO:1990423
ENSCHAG00000000117	GO:0007093
ENSCHAG00000000118	GO:0055114
ENSCHAG00000000119	GO:0004860
ENSCHAG00000000120	
ENSCHAG00000000121	
ENSCHAG00000000122	GO:0046872
ENSCHAG00000000122	GO:0008270
