Gene.stable.ID	Gene.name
ENSCHAG00000003876	ighv6-1
ENSCHAG00000003990	ighv3-43
ENSCHAG00000004023	ighv3-48
ENSCHAG00000000059	stk3
ENSCHAG00000000113	nlrp6
ENSCHAG00000000122	trim13
ENSCHAG00000000127	trim13
ENSCHAG00000000129	hspa12a
ENSCHAG00000000134	
ENSCHAG00000000143	trim13
ENSCHAG00000000146	vtcn1
ENSCHAG00000000251	cyp2k1
ENSCHAG00000000283	caprin2
ENSCHAG00000000290	caprin2
ENSCHAG00000000318	tnfrsf14
ENSCHAG00000000327	tnfrsf14
ENSCHAG00000000366	cd48
ENSCHAG00000000398	aste1a
ENSCHAG00000000400	gss
ENSCHAG00000000431	btn1a1
ENSCHAG00000000510	cdhr1
ENSCHAG00000000531	nlrp1
ENSCHAG00000000630	casp9
ENSCHAG00000000636	cdhr1
ENSCHAG00000000651	zgc:113984
ENSCHAG00000000660	pcdhb8
ENSCHAG00000000682	
ENSCHAG00000000693	cdhr1
ENSCHAG00000000698	
ENSCHAG00000000721	sf3a1
ENSCHAG00000000729	
ENSCHAG00000000741	znf681
ENSCHAG00000000747	gimap8
ENSCHAG00000000763	cdhr1
ENSCHAG00000000778	gimap9
ENSCHAG00000000840	cdh2
ENSCHAG00000000866	cdhr1
ENSCHAG00000000888	gtpbp8
ENSCHAG00000000908	nlrp1
ENSCHAG00000000938	nlrp1
ENSCHAG00000000962	irgc
ENSCHAG00000000973	
ENSCHAG00000000983	pycard
ENSCHAG00000000986	nemp1
ENSCHAG00000000997	
ENSCHAG00000001034	cdhr1
ENSCHAG00000001072	endod1
ENSCHAG00000001100	rnasel3
ENSCHAG00000001122	pol
ENSCHAG00000001130	nlrp1
ENSCHAG00000001144	rnasel3
ENSCHAG00000001167	rnasel3
ENSCHAG00000001189	cdhr1
ENSCHAG00000001211	irgc
ENSCHAG00000001227	rnf10
ENSCHAG00000001234	ephx5
ENSCHAG00000001245	cdhr1
ENSCHAG00000001248	iigp1
ENSCHAG00000001284	sema3ab
ENSCHAG00000001337	rnf170
ENSCHAG00000001349	nlrp1
ENSCHAG00000001356	
ENSCHAG00000001372	trim16
ENSCHAG00000001380	si:ch73-106k19.2
ENSCHAG00000001397	slc7a4
ENSCHAG00000001400	nlrp1
ENSCHAG00000001458	b2m
ENSCHAG00000001461	drl
ENSCHAG00000001470	zmym1
ENSCHAG00000001496	pcdh2ac
ENSCHAG00000001503	zg16
ENSCHAG00000001531	zg16
ENSCHAG00000001543	drl
ENSCHAG00000001571	tgm2
ENSCHAG00000001585	trim16
ENSCHAG00000001594	b2m
