seqnames,start,end,width
chr1,1915001,1980000,65000
chr1,2060001,2065000,5000
chr1,3885001,3895000,10000
chr1,4755001,4760000,5000
chr1,4790001,4795000,5000
chr1,4830001,4850000,20000
chr1,11355001,11360000,5000
chr1,13510001,13515000,5000
chr1,27785001,27790000,5000
chr10,10001,185000,175000
chr10,380001,390000,10000
chr10,460001,465000,5000
chr10,520001,525000,5000
chr10,550001,555000,5000
chr10,1290001,1295000,5000
chr10,4680001,4685000,5000
chr10,8450001,8455000,5000
chr10,12670001,12675000,5000
chr10,13820001,13855000,35000
chr10,13945001,13955000,10000
chr10,22960001,22970000,10000
chr11,2195001,2235000,40000
chr11,2265001,2410000,145000
chr11,2435001,2475000,40000
chr11,2535001,2540000,5000
chr11,3250001,3255000,5000
chr11,3285001,3290000,5000
chr11,3345001,3350000,5000
chr11,19215001,19220000,5000
chr11,20490001,20515000,25000
chr11,22375001,22380000,5000
chr11,24000001,24005000,5000
chr11,24030001,24060000,30000
chr11,26445001,26455000,10000
chr12,20001,30000,10000
chr12,3045001,3050000,5000
chr12,21955001,21960000,5000
chr12,24080001,24115000,35000
chr12,27330001,27335000,5000
chr12,29575001,29580000,5000
chr13,1820001,1825000,5000
chr13,18280001,18285000,5000
chr13,19555001,19560000,5000
chr13,19700001,19705000,5000
chr13,19770001,19775000,5000
chr13,20065001,20105000,40000
chr13,20305001,20365000,60000
chr13,21305001,21310000,5000
chr13,21355001,21360000,5000
chr13,24690001,24695000,5000
chr13,26975001,26985000,10000
chr13,29475001,29480000,5000
chr13,29680001,29685000,5000
chr14,120001,125000,5000
chr14,1135001,1140000,5000
chr14,1205001,1225000,20000
chr14,1250001,1275000,25000
chr14,1315001,1320000,5000
chr14,4125001,4145000,20000
chr14,4190001,4205000,15000
chr14,6930001,6935000,5000
chr14,7080001,7085000,5000
chr14,7725001,7750000,25000
chr14,7780001,7785000,5000
chr14,8075001,8110000,35000
chr14,8150001,8200000,50000
chr14,9345001,9360000,15000
chr14,14755001,14760000,5000
chr14,18010001,18015000,5000
chr14,24760001,24765000,5000
chr14,28655001,28660000,5000
chr15,14135001,14140000,5000
chr15,14535001,14540000,5000
chr15,20350001,20355000,5000
chr15,22670001,22675000,5000
chr15,25740001,25745000,5000
chr15,25860001,25865000,5000
chr15,25895001,25910000,15000
chr15,25975001,25980000,5000
chr15,26005001,26010000,5000
chr15,26275001,26280000,5000
chr15,27215001,27220000,5000
chr15,28095001,28100000,5000
chr16,225001,235000,10000
chr16,450001,460000,10000
chr16,1640001,1645000,5000
chr16,6725001,6735000,10000
chr16,7175001,7180000,5000
chr16,15525001,15540000,15000
chr16,15950001,15955000,5000
chr16,15980001,15995000,15000
chr16,16065001,16070000,5000
chr16,16280001,16295000,15000
chr16,16325001,16330000,5000
chr16,16390001,16445000,55000
chr16,16485001,16490000,5000
chr16,21035001,21055000,20000
chr16,21080001,21100000,20000
chr16,21170001,21190000,20000
chr16,24105001,24110000,5000
chr16,24145001,24155000,10000
chr16,24940001,24945000,5000
chr16,25090001,25130000,40000
chr16,25205001,25350000,145000
chr16,25405001,25475000,70000
chr16,25515001,25520000,5000
chr16,26400001,26425000,25000
chr16,26465001,26470000,5000
chr17,4810001,4815000,5000
chr17,12500001,12505000,5000
chr17,15215001,15220000,5000
chr17,17800001,17805000,5000
chr17,22210001,22220000,10000
chr17,24045001,24050000,5000
chr17,25600001,25605000,5000
chr17,25720001,25725000,5000
chr17,26075001,26080000,5000
chr18,335001,340000,5000
chr18,380001,385000,5000
chr18,505001,535000,30000
chr18,575001,580000,5000
chr18,3705001,3735000,30000
chr18,6210001,6280000,70000
chr18,8345001,8350000,5000
chr18,9060001,9075000,15000
chr18,10835001,10840000,5000
chr18,11855001,11860000,5000
chr18,13480001,13530000,50000
chr18,13560001,13565000,5000
chr18,13645001,13655000,10000
chr18,13685001,13700000,15000
chr18,16635001,16640000,5000
chr18,17375001,17395000,20000
chr18,17445001,17450000,5000
chr18,17600001,17605000,5000
chr18,17675001,17680000,5000
chr18,17855001,17860000,5000
chr18,23205001,23220000,15000
chr18,23250001,23330000,80000
chr18,23390001,23425000,35000
chr18,23470001,23520000,50000
chr18,23575001,23620000,45000
chr18,23835001,23840000,5000
chr18,23935001,23940000,5000
chr18,24000001,24005000,5000
chr18,24090001,24100000,10000
chr18,24155001,24170000,15000
chr18,24370001,24375000,5000
chr18,24510001,24515000,5000
chr18,24580001,24585000,5000
chr18,24620001,24625000,5000
chr18,24650001,24715000,65000
chr18,24740001,24930000,190000
chr18,24975001,25340000,365000
chr18,25370001,25405000,35000
chr18,26350001,26355000,5000
chr18,26380001,26465000,85000
chr18,26525001,26530000,5000
chr18,26600001,26685000,85000
chr18,26770001,26775000,5000
chr18,26840001,26845000,5000
chr19,555001,560000,5000
chr19,585001,590000,5000
chr19,615001,635000,20000
chr19,675001,770000,95000
chr19,795001,845000,50000
chr19,910001,915000,5000
chr19,1165001,1170000,5000
chr19,1295001,1315000,20000
chr19,8510001,8515000,5000
chr19,11120001,11125000,5000
chr19,12420001,12565000,145000
chr19,23605001,23610000,5000
chr19,24145001,24205000,60000
chr19,25785001,25800000,15000
chr19,25855001,25875000,20000
chr19,25910001,25920000,10000
chr2,5001,20000,15000
chr2,95001,100000,5000
chr2,135001,190000,55000
chr2,245001,250000,5000
chr2,575001,580000,5000
chr2,625001,630000,5000
chr2,660001,705000,45000
chr2,810001,815000,5000
chr2,840001,845000,5000
chr2,1270001,1275000,5000
chr2,1365001,1370000,5000
chr2,1395001,1405000,10000
chr2,1555001,1700000,145000
chr2,1745001,1750000,5000
chr2,1885001,1890000,5000
chr2,1935001,1940000,5000
chr2,2395001,2400000,5000
chr2,2540001,2545000,5000
chr2,2610001,2630000,20000
chr2,2775001,2780000,5000
chr2,2825001,2830000,5000
chr2,2860001,2900000,40000
chr2,2925001,3005000,80000
chr2,3060001,3065000,5000
chr2,3225001,3230000,5000
chr2,3435001,3440000,5000
chr2,3530001,3605000,75000
chr2,3710001,3720000,10000
chr2,3845001,3875000,30000
chr2,4000001,4005000,5000
chr2,4255001,4310000,55000
chr2,4350001,4425000,75000
chr2,4475001,4600000,125000
chr2,4980001,4985000,5000
chr2,5110001,5115000,5000
chr2,5315001,5330000,15000
chr2,5480001,5485000,5000
chr2,5565001,5570000,5000
chr2,5600001,5710000,110000
chr2,5745001,5765000,20000
chr2,5805001,5815000,10000
chr2,5840001,5885000,45000
chr2,6040001,6190000,150000
chr2,6235001,6275000,40000
chr2,6300001,6345000,45000
chr2,6485001,6505000,20000
chr2,6755001,6765000,10000
chr2,6870001,6875000,5000
chr2,7715001,7725000,10000
chr2,7830001,7860000,30000
chr2,8115001,8120000,5000
chr2,8175001,8180000,5000
chr2,8895001,8915000,20000
chr2,9430001,9435000,5000
chr2,9460001,9470000,10000
chr2,9495001,9500000,5000
chr2,10390001,10415000,25000
chr2,10450001,10455000,5000
chr2,10660001,10750000,90000
chr2,11065001,11070000,5000
chr2,11135001,11185000,50000
chr2,11215001,11255000,40000
chr2,11415001,11440000,25000
chr2,11735001,11790000,55000
chr2,11860001,11870000,10000
chr2,12255001,12355000,100000
chr2,12420001,12425000,5000
chr2,12455001,12465000,10000
chr2,12535001,12540000,5000
chr2,12565001,12600000,35000
chr2,12635001,12675000,40000
chr2,12700001,12770000,70000
chr2,15755001,15760000,5000
chr2,21065001,21085000,20000
chr2,23590001,23595000,5000
chr2,29675001,29690000,15000
chr20,1,55000,55000
chr20,90001,185000,95000
chr20,235001,260000,25000
chr20,285001,300000,15000
chr20,1715001,1720000,5000
chr20,2020001,2025000,5000
chr20,2070001,2075000,5000
chr20,3615001,3625000,10000
chr20,6640001,6645000,5000
chr20,6715001,6720000,5000
chr20,11270001,11275000,5000
chr20,11410001,11505000,95000
chr20,11540001,11550000,10000
chr20,11650001,11660000,10000
chr20,11695001,11705000,10000
chr20,11735001,11750000,15000
chr20,11775001,11795000,20000
chr20,16915001,16920000,5000
chr20,21195001,21200000,5000
chr20,21255001,21260000,5000
chr20,21290001,21310000,20000
chr20,21415001,21445000,30000
chr20,21520001,21525000,5000
chr20,21550001,21565000,15000
chr20,22365001,22370000,5000
chr20,24470001,24480000,10000
chr20,24525001,24530000,5000
chr21,315001,320000,5000
chr21,530001,535000,5000
chr21,740001,745000,5000
chr21,2255001,2285000,30000
chr21,7620001,7625000,5000
chr21,18635001,18685000,50000
chr21,19155001,19160000,5000
chr21,20105001,20130000,25000
chr22,18430001,18435000,5000
chr22,18610001,18615000,5000
chr22,21555001,21560000,5000
chr22,22050001,22060000,10000
chr22,22135001,22240000,105000
chr22,24385001,24390000,5000
chr22,25165001,25175000,10000
chr23,1655001,1675000,20000
chr23,1710001,1720000,10000
chr23,1750001,1780000,30000
chr23,1815001,1860000,45000
chr23,1900001,1930000,30000
chr23,3120001,3125000,5000
chr23,3455001,3460000,5000
chr23,4340001,4405000,65000
chr23,6490001,6495000,5000
chr23,12110001,12115000,5000
chr23,12435001,12440000,5000
chr23,14845001,14850000,5000
chr23,15260001,15270000,10000
chr23,16075001,16080000,5000
chr23,16315001,16320000,5000
chr23,17530001,17535000,5000
chr23,17645001,17655000,10000
chr23,17705001,17720000,15000
chr23,17745001,17750000,5000
chr23,17785001,17835000,50000
chr23,17970001,17975000,5000
chr23,19675001,19680000,5000
chr23,19820001,19830000,10000
chr23,20745001,20750000,5000
chr23,20775001,20780000,5000
chr23,20850001,20920000,70000
chr23,20980001,21075000,95000
chr23,21605001,21610000,5000
chr23,21940001,21945000,5000
chr23,22360001,22380000,20000
chr23,22490001,22495000,5000
chr23,22585001,22590000,5000
chr23,22705001,22710000,5000
chr23,23170001,23180000,10000
chr23,23710001,23715000,5000
chr23,23785001,23790000,5000
chr23,23855001,23890000,35000
chr23,23920001,23930000,10000
chr23,23955001,23985000,30000
chr24,140002,155001,15000
chr24,215002,240001,25000
chr24,295002,300001,5000
chr24,330002,360001,30000
chr24,400002,405001,5000
chr24,1910002,1915001,5000
chr24,1970002,2050001,80000
chr24,2090002,2160001,70000
chr24,2215002,2220001,5000
chr24,2275002,2280001,5000
chr24,2865002,2880001,15000
chr24,2940002,2945001,5000
chr24,3795002,3805001,10000
chr24,3840002,3880001,40000
chr24,3965002,3980001,15000
chr24,5410002,5430001,20000
chr24,5455002,5470001,15000
chr24,5535002,5555001,20000
chr24,6195002,6200001,5000
chr24,6550002,6570001,20000
chr24,7360002,7385001,25000
chr24,7430002,7440001,10000
chr24,7465002,7475001,10000
chr24,7725002,7735001,10000
chr24,8055002,8060001,5000
chr24,8095002,8105001,10000
chr24,8310002,8335001,25000
chr24,9225002,9240001,15000
chr24,9290002,9295001,5000
chr24,9785002,9790001,5000
chr24,9895002,9915001,20000
chr24,10155002,10195001,40000
chr24,10230002,10245001,15000
chr24,10320002,10325001,5000
chr24,10350002,10355001,5000
chr24,10395002,10400001,5000
chr24,10455002,10475001,20000
chr24,10655002,10660001,5000
chr24,10715002,10720001,5000
chr24,10750002,10755001,5000
chr24,10855002,10860001,5000
chr24,10915002,10920001,5000
chr24,10950002,11005001,55000
chr24,11045002,11065001,20000
chr24,11110002,11115001,5000
chr24,11225002,11230001,5000
chr24,11445002,11475001,30000
chr24,11510002,11520001,10000
chr24,11655002,11660001,5000
chr24,11760002,11785001,25000
chr24,11810002,11815001,5000
chr24,11855002,11860001,5000
chr24,11925002,11930001,5000
chr24,12040002,12045001,5000
chr24,12185002,12190001,5000
chr24,12600002,12615001,15000
chr24,12650002,12685001,35000
chr24,12755002,12785001,30000
chr24,12810002,12835001,25000
chr24,12925002,12935001,10000
chr24,13005002,13030001,25000
chr24,13065002,13135001,70000
chr24,13205002,13210001,5000
chr24,13260002,13265001,5000
chr24,13320002,13440001,120000
chr24,13475002,13710001,235000
chr24,13855002,13885001,30000
chr24,14140002,14190001,50000
chr24,14230002,14240001,10000
chr24,14285002,14320001,35000
chr24,14410002,14510001,100000
chr24,14560002,14610001,50000
chr24,14645002,14655001,10000
chr24,14700002,14725001,25000
chr24,14760002,14810001,50000
chr24,14835002,14870001,35000
chr24,15005002,15015001,10000
chr24,15140002,15150001,10000
chr24,15175002,15180001,5000
chr24,15215002,15225001,10000
chr24,15310002,15315001,5000
chr24,15485002,15495001,10000
chr24,15635002,15730001,95000
chr24,15795002,15805001,10000
chr24,15865002,15895001,30000
chr24,15920002,15930001,10000
chr24,16085002,16090001,5000
chr24,16535002,16550001,15000
chr24,16575002,16650001,75000
chr24,16730002,16750001,20000
chr24,17015002,17040001,25000
chr24,17195002,17200001,5000
chr24,17335002,17385001,50000
chr24,17465002,17470001,5000
chr24,17880002,17910001,30000
chr24,17960002,17965001,5000
chr24,17990002,17995001,5000
chr24,18020002,18045001,25000
chr24,18090002,18095001,5000
chr24,18190002,18205001,15000
chr24,18235002,18240001,5000
chr24,18275002,18315001,40000
