Gene.stable.ID	seqnames	start	end	width	strand	Gene.type	Gene.name_NBIS*	Description (product)	Uniprot entry	Description from Ensembl
ENSCHAG00000000001	1	5076	10763	5688	-	protein_coding	p3h4*	Endoplasmic reticulum protein SC65	sp|Q64375|SC65_RAT	
ENSCHAG00000000002	1	12847	25294	12448	+	protein_coding	fkbp10b	FKBP prolyl isomerase 10b [Source:ZFIN;Acc:ZDB-GENE-030131-3101]		
ENSCHAG00000000003	1	52938	54936	1999	-	protein_coding	sned1*	"Sushi, nidogen and EGF-like domain-containing protein 1"	sp|Q8TER0|SNED1_HUMAN	
ENSCHAG00000000004	1	84114	110567	26454	-	protein_coding	acly*	ATP-citrate synthase	sp|Q91V92|ACLY_MOUSE	
ENSCHAG00000000007	1	147162	148261	1100	+	protein_coding	tmem39a*	Transmembrane protein 39A	sp|Q6PH58|TM39A_DANRE	
ENSCHAG00000000008	1	151820	156833	5014	-	protein_coding	cdc42ep1b	CDC42 effector protein (Rho GTPase binding) 1b [Source:ZFIN;Acc:ZDB-GENE-120215-219]		
ENSCHAG00000000009	1	173782	189753	15972	+	protein_coding	dlg1l*	Discs large homolog 1-like protein	sp|Q5PYH5|DLG1L_DANRE	
ENSCHAG00000000010	1	190832	205102	14271	+	protein_coding	si:dkey-217f16.6	si:dkey-217f16.6 [Source:ZFIN;Acc:ZDB-GENE-091117-15]		
ENSCHAG00000000011	1	207584	217147	9564	+	protein_coding	TPTEP2-CSNK1E	casein kinase I isoform epsilon [Source:NCBI gene;Acc:105897698]		
ENSCHAG00000000012	1	212131	213427	1297	-	protein_coding				
ENSCHAG00000000013	1	219818	232161	12344	+	protein_coding	tmem184bb	transmembrane protein 184bb [Source:ZFIN;Acc:ZDB-GENE-070705-124]		
ENSCHAG00000000014	1	233141	236008	2868	+	protein_coding	zgc:153292	zgc:153292 [Source:ZFIN;Acc:ZDB-GENE-060929-1098]		
ENSCHAG00000000015	1	239121	240099	979	+	protein_coding	elob	elongin B [Source:ZFIN;Acc:ZDB-GENE-020415-1]		
ENSCHAG00000000016	1	242391	244786	2396	+	protein_coding	elob	uncharacterized LOC105897676 [Source:NCBI gene;Acc:105897676]		
ENSCHAG00000000017	1	247088	253392	6305	+	protein_coding	armc5	armadillo repeat containing 5 [Source:ZFIN;Acc:ZDB-GENE-030131-7382]		
ENSCHAG00000000018	1	253503	257857	4355	-	protein_coding				"cytochrome c oxidase subunit 6A, mitochondrial [Source:NCBI gene;Acc:105897668]"
ENSCHAG00000000019	1	293532	297928	4397	-	protein_coding	c9*	Complement component C9	sp|P79755|CO9_TAKRU	
ENSCHAG00000000020	1	299985	304560	4576	-	protein_coding	c9*	Complement component C9	sp|P79755|CO9_TAKRU	
ENSCHAG00000000021	1	323379	325922	2544	-	protein_coding				
ENSCHAG00000000022	1	334889	341090	6202	-	protein_coding	c8b*	Complement component C8 beta chain	sp|Q9PVW7|CO8B_PAROL	
ENSCHAG00000000023	1	346524	359150	12627	+	protein_coding	paqr4a	progestin and adipoQ receptor family member IVa [Source:ZFIN;Acc:ZDB-GENE-131127-110]		
ENSCHAG00000000024	1	366791	376359	9569	+	protein_coding	coro1a	coronin-1A-like [Source:NCBI gene;Acc:105897695]		
