CHR	BIN_START	N_SNP	RHO	RR
1	1	284	787.806369	0.525204246
1	100001	366	890.372445	0.59358163
1	200001	789	4576.548416	3.05103227733333
1	300001	757	9960.339466	6.64022631066667
1	400001	478	12630.792468	8.420528312
1	500001	450	12206.893118	8.13792874533333
1	600001	493	13152.747597	8.768498398
1	700001	578	12692.469955	8.46164663666667
1	800001	474	12818.815494	8.545876996
1	900001	717	13454.687648	8.96979176533333
1	1000001	436	12426.461008	8.28430733866667
1	1100001	453	13086.383237	8.72425549133333
1	1200001	547	12923.496645	8.61566443
1	1300001	522	12857.559096	8.571706064
1	1400001	509	12939.176263	8.62611750866667
1	1500001	585	13149.937833	8.766625222
1	1600001	538	13007.825436	8.671883624
1	1700001	308	12918.454011	8.612302674
1	1800001	515	12947.821477	8.63188098466667
1	1900001	1551	12765.444741	8.510296494
1	2000001	904	11376.446546	7.58429769733333
1	2100001	437	11381.359254	7.587572836
1	2200001	364	11632.13847	7.75475898
1	2300001	265	10951.774798	7.30118319866667
1	2400001	468	11393.914472	7.59594298133333
1	2500001	521	11108.064729	7.405376486
1	2600001	899	11526.317667	7.684211778
1	2700001	441	11135.757533	7.42383835533333
1	2800001	443	11263.002344	7.50866822933333
1	2900001	512	11116.934303	7.41128953533333
1	3000001	704	4942.398102	3.294932068
1	3100001	512	5761.09580299998	3.84073053533332
1	3200001	412	6038.05094400001	4.02536729600001
1	3300001	440	5879.166247	3.91944416466667
1	3400001	489	6222.55106500001	4.14836737666667
1	3500001	465	6145.867015	4.09724467666667
1	3600001	322	6070.41354799998	4.04694236533332
1	3700001	391	6180.78995100001	4.12052663400001
1	3800001	967	6107.82348800002	4.07188232533335
1	3900001	484	6162.557153	4.10837143533333
1	4000001	232	6184.26942199999	4.12284628133333
1	4100001	263	5990.14431700001	3.99342954466667
1	4200001	430	6074.062613	4.04937507533333
1	4300001	676	6119.85182099998	4.07990121399999
1	4400001	499	6068.94571100001	4.04596380733334
1	4500001	430	8842.27469000004	5.89484979333336
1	4600001	302	9359.19674299994	6.23946449533329
1	4700001	386	9418.93361899999	6.27928907933333
1	4800001	1104	6644.85043700001	4.42990029133334
1	4900001	352	2999.56007199999	1.99970671466666
1	5000001	367	4608.335594	3.07222372933333
1	5100001	335	5057.76786299999	3.37184524199999
1	5200001	292	5331.54601900002	3.55436401266668
1	5300001	316	5120.12885199998	3.41341923466665
1	5400001	380	5267.83976600001	3.51189317733334
1	5500001	331	5305.79588299999	3.53719725533333
1	5600001	379	5207.75874000003	3.47183916000002
1	5700001	247	5242.05736700001	3.49470491133334
1	5800001	290	5288.34252799998	3.52556168533332
1	5900001	331	5282.46671899998	3.52164447933332
1	6000001	189	5240.92834200003	3.49395222800002
1	6100001	257	5438.53106800001	3.62568737866667
1	6200001	277	5087.56588799996	3.39171059199997
1	6300001	199	5116.38417000002	3.41092278000001
1	6400001	321	3996.51930099998	2.66434620066665
1	6500001	342	2620.83545300002	1.74722363533335
1	6600001	363	2949.91797999998	1.96661198666665
1	6700001	317	4211.219774	2.80747984933333
1	6800001	254	4253.53884000003	2.83569256000002
1	6900001	331	4223.45295699998	2.81563530466665
1	7000001	446	3476.263449	2.317508966
1	7100001	271	3086.64030500001	2.05776020333334
1	7200001	168	2591.324689	1.72754979266667
1	7300001	257	1985.819469	1.323879646
1	7400001	201	3292.38587899998	2.19492391933332
1	7500001	89	3014.61906100001	2.00974604066667
1	7600001	205	3387.798196	2.25853213066667
1	7700001	289	3258.245032	2.17216335466667
1	7800001	203	2378.480325	1.58565355
1	7900001	157	1778.780188	1.18585345866667
1	8000001	229	1026.38728999999	0.684258193333327
1	8100001	191	1887.95350800001	1.25863567200001
1	8200001	208	1956.47725699999	1.30431817133333
1	8300001	183	2090.04446399999	1.39336297599999
1	8400001	157	1948.47161599999	1.29898107733333
1	8500001	282	1536.96536500002	1.02464357666668
1	8600001	210	930.421429999997	0.620280953333331
1	8700001	189	955.003674000005	0.636669116000003
1	8800001	191	959.514072999984	0.639676048666656
1	8900001	143	867.236347000009	0.578157564666673
1	9000001	216	909.058378999998	0.606038919333332
1	9100001	164	823.625642000002	0.549083761333335
1	9200001	162	895.472469999995	0.596981646666663
1	9300001	145	716.583826000008	0.477722550666672
1	9400001	177	785.223580999994	0.523482387333329
1	9500001	256	722.888995	0.481925996666667
1	9600001	178	630.383649999998	0.420255766666665
1	9700001	291	914.415922999984	0.609610615333323
1	9800001	197	610.341058000002	0.406894038666668
1	9900001	135	504.298793999996	0.336199195999997
1	10000001	227	773.250394000016	0.515500262666677
1	10100001	233	704.861546999999	0.469907697999999
